Qty,Manufacturer,MPN,URL,Schematic Reference,Internal Part Number,Description
3,JST,B4B-PH-K-S(LF)(SN),https://octopart.com/b4b-ph-k-s%28lf%29%28sn%29-jst-248870,JST-PH4,PLED1 PLED2 PLED3,
1,,,https://octopart.com/d.np-ward-73362764,PINHD-1X4,JP2,DO NOT PLACE
1,,,,PINHD-1X5,JP1,MANUAL PLACE
1,Panasonic,DB2X41500L,https://octopart.com/db2x41500l-panasonic-44401435?r=sp&s=9Qtp1ut9Q1Sov_YvCgGkPA,SCHOTTKY,D1,
1,Samsung,CL21B103KBANNNC,https://octopart.com/cl21b103kbannnc-samsung-8283151,CAPACITOR_0805,CB,10nF
3,Murata,GRM21BR61E106KA73L,https://octopart.com/grm21br61e106ka73l-murata-11231261,CAPACITOR_0805,CIN1 CIN2 CMCU,10uF
1,Murata,GRM21BR61A226ME51L,https://octopart.com/grm21br61a226me51l-murata-21407309,CAPACITOR_0805,COUT,22uF
1,Taiyo Yuden,NR6028T4R7M,https://octopart.com/nr6028t4r7m-taiyo+yuden-8598468,INDUCTOR,L1,4.7uH
1,Yageo,RC0805FR-0749K9L,https://octopart.com/rc0805fr-0749k9l-yageo-1214243,RESISTOR_0805,R1,49.9k
1,Yageo,RC0805FR-079K53L,https://octopart.com/rc0805fr-079k53l-yageo-9297119,RESISTOR_0805,R2,9.53k
1,Diodes Inc.,AP3211KTR-G1,https://octopart.com/ap3211ktr-g1-diodes+inc.-30954677,AP3211,UREG,AP3211
1,NXP Semiconductors,MKE02Z32VLC4,https://octopart.com/mke02z32vlc4-nxp+semiconductors-70303431,KE02,UMCU,KE02
2,TE Connectivity,292132-4,https://octopart.com/292132-4-te+connectivity-40260559,SERVO-CONNVERT,U$3 U$4,SERVO-CONNVERT
1,Diodes Inc.,1N4148W-7-F,https://octopart.com/1n4148w-7-f-diodes+inc.-55386411,SMALL-SIGNALSOD-123,D2,SMALL-SIGNALSOD-123
